MovieID,Title,Genres,new_title
28,Persuasion (1995),Romance,1995 Persuasion
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995 Children City Lost of
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995 Shanghai Triad Yao a dao qiao waipo yao yao
33,Wings of Courage (1995),Adventure|Romance,1995 Courage Wings of
35,Carrington (1995),Drama|Romance,1995 Carrington
37,Across the Sea of Time (1995),Documentary,1995 Across Sea Time of
47,Seven (Se7en) (1995),Crime|Thriller,1995 Se7en Seven
51,Guardian Angel (1994),Action|Drama|Thriller,1994 Angel Guardian
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,1995 Kids Round Table of
58,"Postino, Il (The Postman) (1994)",Drama|Romance,1994 Il Postino Postman
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,1995 Confessional Confessionnal Le
64,Two if by Sea (1996),Comedy|Romance,1996 Sea Two by if
67,Two Bits (1995),Drama,1995 Bits Two
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995 French Gazon Twist maudit
73,"Misérables, Les (1995)",Drama|Musical,1995 Les Misérables
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,1995 Badkonake Balloon Sefid White
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,'re 1995 Dead Denver Do Things You in to when
82,Antonia's Line (Antonia) (1995),Drama,'s 1995 Antonia Antonia Line
84,Last Summer in the Hamptons (1995),Comedy|Drama,1995 Hamptons Last Summer in
90,"Journey of August King, The (1995)",Drama,1995 August Journey King of
97,"Hate (Haine, La) (1995)",Drama,1995 Haine Hate La
98,Shopping (1994),Action|Thriller,1994 Shopping
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994 Keiner Loves Me Nobody liebt mich
109,Headless Body in Topless Bar (1995),Comedy,1995 Bar Body Headless Topless in
112,Rumble in the Bronx (1995),Action|Adventure|Crime,1995 Bronx Rumble in
114,Margaret's Museum (1995),Drama,'s 1995 Margaret Museum
115,Happiness Is in the Field (1995),Comedy,1995 Field Happiness Is in
120,Race the Sun (1996),Drama,1996 Race Sun
121,"Boys of St. Vincent, The (1993)",Drama,1993 Boys St. Vincent of
123,Chungking Express (1994),Drama|Mystery|Romance,1994 Chungking Express
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,1995 L Maker Star Uomo delle stelle
125,Flirting With Disaster (1996),Comedy,1996 Disaster Flirting With
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,1994 III NeverEnding Story
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1994 Palace Qusur Saimt Silence el of
128,Jupiter's Wife (1994),Documentary,'s 1994 Jupiter Wife
130,Angela (1995),Drama,1995 Angela
131,Frankie Starlight (1995),Drama|Romance,1995 Frankie Starlight
133,Nueba Yol (1995),Comedy|Drama,1995 Nueba Yol
134,Sonic Outlaws (1995),Documentary,1995 Outlaws Sonic
136,From the Journals of Jean Seberg (1995),Documentary,1995 From Jean Journals Seberg of
138,"Neon Bible, The (1995)",Drama,1995 Bible Neon
139,Target (1995),Action|Drama,1995 Target
140,Up Close and Personal (1996),Drama|Romance,1996 Close Personal Up and
142,Shadows (Cienie) (1988),Drama,1988 Cienie Shadows
143,Gospa (1995),Drama,1995 Gospa
157,Canadian Bacon (1994),Comedy|War,1994 Bacon Canadian
167,Feast of July (1995),Drama,1995 Feast July of
182,Moonlight and Valentino (1995),Drama|Romance,1995 Moonlight Valentino and
183,Mute Witness (1994),Thriller,1994 Mute Witness
192,"Show, The (1995)",Documentary,1995 Show
197,"Stars Fell on Henrietta, The (1995)",Drama,1995 Fell Henrietta Stars on
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,1964 Cherbourg Cherbourg Les Parapluies Umbrellas de of
200,"Tie That Binds, The (1995)",Thriller,1995 Binds That Tie
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,! 1995 Everything Foo Julie Newmar Thanks To Wong for
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,1994 Burnt By Sun Utomlyonnye solntsem
214,Before the Rain (Pred dozhdot) (1994),Drama,1994 Before Pred Rain dozhdot
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,1995 DeMarco Don Juan
226,Dream Man (1995),Thriller,1995 Dream Man
230,Dolores Claiborne (1994),Drama|Thriller,1994 Claiborne Dolores
231,Dumb & Dumber (1994),Comedy,& 1994 Dumb Dumber
232,Eat Drink Man Woman (1994),Comedy|Drama,1994 Drink Eat Man Woman
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,1995 : Adventures Dog Far From Home Yellow of
242,Farinelli: il castrato (1994),Drama|Musical,1994 : Farinelli castrato il
243,Gordy (1995),Comedy,1995 Gordy
244,Gumby: The Movie (1995),Animation|Children's,1995 : Gumby Movie
245,"Glass Shield, The (1994)",Crime|Drama,1994 Glass Shield
248,Houseguest (1994),Comedy,1994 Houseguest
250,Heavyweights (1994),Children's|Comedy,1994 Heavyweights
253,Interview with the Vampire (1994),Drama|Horror,1994 Interview Vampire with
255,"Jerky Boys, The (1994)",Comedy,1994 Boys Jerky
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,- 1977 : A Episode Hope IV New Star Wars
264,"Enfer, L' (1994)",Drama,1994 Enfer L
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,1992 Chocolate Como Like Water agua chocolate for para
267,Major Payne (1994),Comedy,1994 Major Payne
268,Little Odessa (1994),Drama,1994 Little Odessa
269,My Crazy Life (Mi vida loca) (1993),Drama,1993 Crazy Life Mi My loca vida
273,Mary Shelley's Frankenstein (1994),Drama|Horror,'s 1994 Frankenstein Mary Shelley
284,New York Cop (1996),Action|Crime,1996 Cop New York
285,Beyond Bedlam (1993),Drama|Horror,1993 Bedlam Beyond
286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,1995 2 : Nebula Nemesis
291,Poison Ivy II (1995),Thriller,1995 II Ivy Poison
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,. 1994 : Leon Professional Professional a.k.a
297,Panther (1995),Drama,1995 Panther
298,Pushing Hands (1992),Comedy,1992 Hands Pushing
301,Picture Bride (1995),Drama|Romance,1995 Bride Picture
302,Queen Margot (La Reine Margot) (1994),Drama|Romance,1994 La Margot Margot Queen Reine
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,1994 Pret-A-Porter Ready Wear to
306,Three Colors: Red (1994),Drama,1994 : Colors Red Three
307,Three Colors: Blue (1993),Drama,1993 : Blue Colors Three
308,Three Colors: White (1994),Drama,1994 : Colors Three White
309,"Red Firecracker, Green Firecracker (1994)",Drama,1994 Firecracker Firecracker Green Red
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,1993 Chocolate Fresa Strawberry and chocolate y
322,Swimming with Sharks (1995),Comedy|Drama,1995 Sharks Swimming with
325,National Lampoon's Senior Trip (1995),Comedy,'s 1995 Lampoon National Senior Trip
326,To Live (Huozhe) (1994),Drama,1994 Huozhe Live To
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,1995 : Crypt Demon From Knight Presents Tales
346,Backbeat (1993),Drama|Musical,1993 Backbeat
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,1993 Bilder Die Horrible Leni Life Macht Riefenstahl Wonderful der of
373,Red Rock West (1992),Thriller,1992 Red Rock West
374,Richie Rich (1994),Children's|Comedy,1994 Rich Richie
375,Safe Passage (1994),Drama,1994 Passage Safe
388,Boys Life (1995),Drama,1995 Boys Life
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,1994 Chabert Colonel Le
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,1993 Adventures Secret Thumb Tom of
394,Coldblooded (1995),Action,1995 Coldblooded
395,Desert Winds (1995),Drama,1995 Desert Winds
396,Fall Time (1995),Drama,1995 Fall Time
397,"Fear, The (1995)",Horror,1995 Fear
398,Frank and Ollie (1995),Documentary,1995 Frank Ollie and
399,Girl in the Cadillac (1995),Drama,1995 Cadillac Girl in
400,Homage (1995),Drama,1995 Homage
401,Mirage (1995),Action|Thriller,1995 Mirage
402,Open Season (1996),Comedy,1996 Open Season
403,Two Crimes (1995),Comedy|Crime|Drama,1995 Crimes Two
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,1994 : Assassination Brother Malcolm Minister X of
407,In the Mouth of Madness (1995),Horror|Thriller,1995 In Madness Mouth of
411,You So Crazy (1994),Comedy,1994 Crazy So You
418,Being Human (1993),Drama,1993 Being Human
422,Blink (1994),Thriller,1994 Blink
439,Dangerous Game (1993),Drama,1993 Dangerous Game
443,"Endless Summer 2, The (1994)",Documentary,1994 2 Endless Summer
446,Farewell My Concubine (1993),Drama|Romance,1993 Concubine Farewell My
447,"Favor, The (1994)",Comedy|Romance,1994 Favor
462,"Good Man in Africa, A (1994)",Action|Adventure,1994 A Africa Good Man in
463,Guilty as Sin (1993),Crime|Drama|Thriller,1993 Guilty Sin as
465,Heaven & Earth (1993),Action|Drama|War,& 1993 Earth Heaven
477,What's Love Got to Do with It? (1993),Drama,'s 1993 ? Do Got It Love What to with
482,Killing Zoe (1994),Thriller,1994 Killing Zoe
